,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,5426,Solana,SOL,solana,909,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,517858346.81088555,599765957.9801275,True,,6,,,,2025-05-01T09:33:00.000Z,150.79457638587866,3139341929.1267376,17.611,-0.06125811,2.35505278,2.67131496,16.89293088,5.14897504,-35.80497565,78090230035.23892,2.6215,90441453564.28,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
6,3408,USDC,USDC,usd-coin,27501,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61542269040.25496,61542269040.25496,False,,7,,,,2025-05-01T09:33:00.000Z,0.9999475202495213,9901906046.961761,17.3152,-0.01204594,-0.00623539,-0.00660515,0.00850271,-0.00318508,-0.00778844,61539039317.33183,2.0659,61539039317.33,,2025-05-01T09:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-01 17:34:38.052350
7,74,Dogecoin,DOGE,dogecoin,1214,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149079486383.70526,149079476383.70526,True,,8,,,,2025-05-01T09:33:00.000Z,0.17624580332613338,935815317.7943103,5.6276,0.10959215,0.71762054,2.15882379,1.40729462,-14.80780527,-46.23416519,26274633837.143497,0.8821,26274632074.69,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
8,2010,Cardano,ADA,cardano,1510,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35302796703.74389,44995001398.801895,False,,9,,,,2025-05-01T09:33:00.000Z,0.6981813761940684,676194218.6832067,-10.3237,0.32803652,0.05327554,2.90363112,2.4839852,5.24879991,-26.8606292,24647755186.11933,0.8275,31418161928.73,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
9,1958,TRON,TRX,tron,1169,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94929228639.75595,94929163827.24689,True,,10,,,,2025-05-01T09:33:00.000Z,0.2487145176092681,464459588.9159167,4.7732,0.08229731,1.5062365,2.17224666,6.1401064,6.64602033,-2.36785199,23610277308.15682,0.7926,23610261188.34,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
10,20947,Sui,SUI,sui,628,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3249982900.4588876,10000000000.0,False,,11,3249982900.4588876,11515588887.921926,,2025-05-01T09:33:00.000Z,3.5432767619472587,1422083620.7150514,13.383,1.25215192,0.38608585,18.10269287,45.99204069,23.8623222,-14.74716721,11515588887.921926,0.3866,35432767619.47,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
11,1975,Chainlink,LINK,chainlink,2000,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-05-01T09:33:00.000Z,14.898632025708517,298234154.6994467,13.0521,0.43574373,2.2997758,3.57224119,6.45086625,0.56301462,-40.44156181,9789890663.880009,0.3286,14898632025.71,,2025-05-01T09:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-05-01 17:34:38.052350
12,5805,Avalanche,AVAX,avalanche,909,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416969358.0790286,453638858.0790286,False,,13,,,,2025-05-01T09:33:00.000Z,21.32107318054332,321722041.7460075,21.8198,-0.03993099,-1.21258408,-2.93252515,8.5277972,-3.52542105,-38.52424286,8890234197.64714,0.2984,15260530816.68,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
13,512,Stellar,XLM,stellar,704,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30894912214.92716,50001786892.81785,False,,14,,,,2025-05-01T09:33:00.000Z,0.2733369406806361,159504435.66753146,2.6906,0.04528462,-1.76951769,4.38525715,-0.33919364,-14.52939648,-35.02883924,8444720787.425004,0.2835,13667340902.5,,2025-05-01T09:33:00.000Z,,,,,,2025-05-01 17:34:38.052350
14,3957,UNUS SED LEO,LEO,unus-sed-leo,60,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,923562148.9,985239504.0,False,,15,,,,2025-05-01T09:33:00.000Z,8.950232987231377,2564253.64468486,0.7971,0.01217984,-1.04404007,-3.20925176,-2.73197359,-8.7029537,-8.36290235,8266096410.843077,0.2775,8818123109.02,,2025-05-01T09:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-05-01 17:34:38.052350
